[Name]
Re141 at Line 1

[Data]
Z [ m ],Velocity w [ m s^-1 ]
0.00000000e+00, 1.14548187e-04
3.03030312e-01, 1.28319778e-04
6.06060624e-01, 1.48390100e-04
9.09090936e-01, 1.63147532e-04
1.21212125e+00, 1.74308021e-04
1.51515150e+00, 1.83206605e-04
1.81818175e+00, 1.89893806e-04
2.12121201e+00, 1.95818488e-04
2.42424226e+00, 1.99763832e-04
2.72727251e+00, 2.03578456e-04
3.03030276e+00, 2.06727302e-04
3.33333302e+00, 2.08762620e-04
3.63636327e+00, 2.11234888e-04
3.93939352e+00, 2.13006657e-04
4.24242401e+00, 2.13373700e-04
4.54545450e+00, 2.14361309e-04
4.84848499e+00, 2.16151384e-04
5.15151548e+00, 2.16613815e-04
5.45454597e+00, 2.16474000e-04
5.75757647e+00, 2.16718370e-04
6.06060696e+00, 2.18200221e-04
6.36363745e+00, 2.18966772e-04
6.66666794e+00, 2.19177935e-04
6.96969843e+00, 2.18998277e-04
7.27272892e+00, 2.19406298e-04
7.57575941e+00, 2.18816058e-04
7.87878990e+00, 2.19811758e-04
8.18181992e+00, 2.19569381e-04
8.48484993e+00, 2.20413916e-04
8.78787994e+00, 2.20780930e-04
9.09090996e+00, 2.19981419e-04
9.39393997e+00, 2.20847665e-04
9.69696999e+00, 2.20861461e-04
1.00000000e+01, 2.19585811e-04
1.03030300e+01, 2.19707552e-04
1.06060600e+01, 2.19034904e-04
1.09090900e+01, 2.19856418e-04
1.12121201e+01, 2.20715825e-04
1.15151501e+01, 2.21057606e-04
1.18181801e+01, 2.19899841e-04
1.21212101e+01, 2.19966110e-04
1.24242401e+01, 2.20373011e-04
1.27272701e+01, 2.19887268e-04
1.30303001e+01, 2.18814021e-04
1.33333302e+01, 2.20555157e-04
1.36363602e+01, 2.21121096e-04
1.39393902e+01, 2.19902897e-04
1.42424202e+01, 2.20085174e-04
1.45454502e+01, 2.21001610e-04
1.48484802e+01, 2.21421767e-04
1.51515102e+01, 2.20313552e-04
1.54545403e+01, 2.19581765e-04
1.57575703e+01, 2.20403468e-04
1.60606003e+01, 2.20619331e-04
1.63636303e+01, 2.20689253e-04
1.66666603e+01, 2.21033013e-04
1.69696903e+01, 2.19780661e-04
1.72727203e+01, 2.21194045e-04
1.75757504e+01, 2.20566377e-04
1.78787804e+01, 2.19897658e-04
1.81818104e+01, 2.19111884e-04
1.84848404e+01, 2.20901435e-04
1.87878704e+01, 2.20465576e-04
1.90909004e+01, 2.20322298e-04
1.93939304e+01, 2.20061396e-04
1.96969604e+01, 2.19971189e-04
1.99999905e+01, 2.19796668e-04
2.03030205e+01, 2.19762180e-04
2.06060505e+01, 2.19426875e-04
2.09090805e+01, 2.20338130e-04
2.12121105e+01, 2.20282338e-04
2.15151405e+01, 2.20079120e-04
2.18181705e+01, 2.20011221e-04
2.21212006e+01, 2.19994778e-04
2.24242306e+01, 2.20709233e-04
2.27272606e+01, 2.19733731e-04
2.30302906e+01, 2.20157803e-04
2.33333206e+01, 2.20249291e-04
2.36363506e+01, 2.19986032e-04
2.39393806e+01, 2.19075155e-04
2.42424107e+01, 2.20465503e-04
2.45454407e+01, 2.19458801e-04
2.48484707e+01, 2.21222668e-04
2.51515007e+01, 2.21299459e-04
2.54545307e+01, 2.19977956e-04
2.57575607e+01, 2.19607813e-04
2.60605907e+01, 2.20622780e-04
2.63636208e+01, 2.21082635e-04
2.66666508e+01, 2.20521586e-04
2.69696808e+01, 2.21188093e-04
2.72727108e+01, 2.21298935e-04
2.75757408e+01, 2.20279602e-04
2.78787708e+01, 2.20249931e-04
2.81818008e+01, 2.20881717e-04
2.84848309e+01, 2.19657028e-04
2.87878609e+01, 2.20873218e-04
2.90908909e+01, 2.18796136e-04
2.93939209e+01, 2.20064307e-04
2.96969509e+01, 2.21202470e-04
2.99999809e+01, 2.18303234e-04


