[Name]
Series 1 at Line 1

[Data]
Z [ m ],Velocity w [ m s^-1 ]
0.00000000e+00, 1.71822277e-04
3.03030312e-01, 1.88032005e-04
6.06060624e-01, 2.11469684e-04
9.09090936e-01, 2.29090540e-04
1.21212125e+00, 2.43043614e-04
1.51515150e+00, 2.54714250e-04
1.81818175e+00, 2.64472765e-04
2.12121201e+00, 2.73050595e-04
2.42424226e+00, 2.80099979e-04
2.72727251e+00, 2.86531926e-04
3.03030276e+00, 2.92156241e-04
3.33333302e+00, 2.96452577e-04
3.63636327e+00, 3.01030057e-04
3.93939352e+00, 3.04673740e-04
4.24242401e+00, 3.06725735e-04
4.54545450e+00, 3.09246767e-04
4.84848499e+00, 3.12568736e-04
5.15151548e+00, 3.14199802e-04
5.45454597e+00, 3.15062993e-04
5.75757647e+00, 3.16174148e-04
6.06060696e+00, 3.18795675e-04
6.36363745e+00, 3.20495281e-04
6.66666794e+00, 3.21491360e-04
6.96969843e+00, 3.21829459e-04
7.27272892e+00, 3.22823093e-04
7.57575941e+00, 3.22513661e-04
7.87878990e+00, 3.24255961e-04
8.18181992e+00, 3.24345106e-04
8.48484993e+00, 3.25793779e-04
8.78787994e+00, 3.26619222e-04
9.09090996e+00, 3.25837609e-04
9.39393997e+00, 3.27270653e-04
9.69696999e+00, 3.27478483e-04
1.00000000e+01, 3.25914996e-04
1.03030300e+01, 3.26267589e-04
1.06060600e+01, 3.25460162e-04
1.09090900e+01, 3.26804729e-04
1.12121201e+01, 3.28131224e-04
1.15151501e+01, 3.28699651e-04
1.18181801e+01, 3.27142887e-04
1.21212101e+01, 3.27303162e-04
1.24242401e+01, 3.27958551e-04
1.27272701e+01, 3.27352202e-04
1.30303001e+01, 3.25934350e-04
1.33333302e+01, 3.28470254e-04
1.36363602e+01, 3.29351722e-04
1.39393902e+01, 3.27599322e-04
1.42424202e+01, 3.27835733e-04
1.45454502e+01, 3.29227332e-04
1.48484802e+01, 3.29795992e-04
1.51515102e+01, 3.28316586e-04
1.54545403e+01, 3.27288348e-04
1.57575703e+01, 3.28465656e-04
1.60606003e+01, 3.28783470e-04
1.63636303e+01, 3.28936469e-04
1.66666603e+01, 3.29413073e-04
1.69696903e+01, 3.27636517e-04
1.72727203e+01, 3.29645263e-04
1.75757504e+01, 3.28814174e-04
1.78787804e+01, 3.27874674e-04
1.81818104e+01, 3.26742476e-04
1.84848404e+01, 3.29168688e-04
1.87878704e+01, 3.28565657e-04
1.90909004e+01, 3.28340713e-04
1.93939304e+01, 3.27987160e-04
1.96969604e+01, 3.27863294e-04
1.99999905e+01, 3.27574206e-04
2.03030205e+01, 3.27540736e-04
2.06060505e+01, 3.27017478e-04
2.09090805e+01, 3.28250637e-04
2.12121105e+01, 3.28194321e-04
2.15151405e+01, 3.27900721e-04
2.18181705e+01, 3.27812741e-04
2.21212006e+01, 3.27853253e-04
2.24242306e+01, 3.28902301e-04
2.27272606e+01, 3.27569025e-04
2.30302906e+01, 3.28176568e-04
2.33333206e+01, 3.28302645e-04
2.36363506e+01, 3.27858783e-04
2.39393806e+01, 3.26598471e-04
2.42424107e+01, 3.28530354e-04
2.45454407e+01, 3.27119982e-04
2.48484707e+01, 3.29612289e-04
2.51515007e+01, 3.29746632e-04
2.54545307e+01, 3.27877380e-04
2.57575607e+01, 3.27377638e-04
2.60605907e+01, 3.28734517e-04
2.63636208e+01, 3.29464674e-04
2.66666508e+01, 3.28680559e-04
2.69696808e+01, 3.29606846e-04
2.72727108e+01, 3.29893053e-04
2.75757408e+01, 3.28406750e-04
2.78787708e+01, 3.28377471e-04
2.81818008e+01, 3.29239003e-04
2.84848309e+01, 3.27457994e-04
2.87878609e+01, 3.29234375e-04
2.90908909e+01, 3.26247304e-04
2.93939209e+01, 3.28031310e-04
2.96969509e+01, 3.29602568e-04
2.99999809e+01, 3.25519533e-04


