[Name]
Re 228 at /LINE:Line 1

[Data]
Z [ m ],Velocity w [ m s^-1 ]
0.00000000e+00, 2.29096375e-04
3.03030312e-01, 2.47395539e-04
6.06060624e-01, 2.73738173e-04
9.09090936e-01, 2.93674530e-04
1.21212125e+00, 3.09626135e-04
1.51515150e+00, 3.23089393e-04
1.81818175e+00, 3.34888551e-04
2.12121201e+00, 3.45271954e-04
2.42424226e+00, 3.54546646e-04
2.72727251e+00, 3.62986146e-04
3.03030276e+00, 3.70607711e-04
3.33333302e+00, 3.76945158e-04
3.63636327e+00, 3.83385166e-04
3.93939352e+00, 3.88695829e-04
4.24242401e+00, 3.92635120e-04
4.54545450e+00, 3.96739400e-04
4.84848499e+00, 4.01530589e-04
5.15151548e+00, 4.04524617e-04
5.45454597e+00, 4.06656705e-04
5.75757647e+00, 4.08858788e-04
6.06060696e+00, 4.12642315e-04
6.36363745e+00, 4.15443559e-04
6.66666794e+00, 4.17456380e-04
6.96969843e+00, 4.18632815e-04
7.27272892e+00, 4.20404715e-04
7.57575941e+00, 4.20750293e-04
7.87878990e+00, 4.23341378e-04
8.18181992e+00, 4.24033031e-04
8.48484993e+00, 4.26238141e-04
8.78787994e+00, 4.27738734e-04
9.09090996e+00, 4.27272753e-04
9.39393997e+00, 4.29373962e-04
9.69696999e+00, 4.29949141e-04
1.00000000e+01, 4.28408472e-04
1.03030300e+01, 4.29169770e-04
1.06060600e+01, 4.28461208e-04
1.09090900e+01, 4.30390006e-04
1.12121201e+01, 4.32280940e-04
1.15151501e+01, 4.33185603e-04
1.18181801e+01, 4.31472086e-04
1.21212101e+01, 4.31836903e-04
1.24242401e+01, 4.32853441e-04
1.27272701e+01, 4.32294968e-04
1.30303001e+01, 4.30696789e-04
1.33333302e+01, 4.34004178e-04
1.36363602e+01, 4.35261434e-04
1.39393902e+01, 4.33098117e-04
1.42424202e+01, 4.33449459e-04
1.45454502e+01, 4.35347698e-04
1.48484802e+01, 4.36115486e-04
1.51515102e+01, 4.34347865e-04
1.54545403e+01, 4.33158828e-04
1.57575703e+01, 4.34710586e-04
1.60606003e+01, 4.35165945e-04
1.63636303e+01, 4.35449590e-04
1.66666603e+01, 4.36096947e-04
1.69696903e+01, 4.33897425e-04
1.72727203e+01, 4.36464645e-04
1.75757504e+01, 4.35515365e-04
1.78787804e+01, 4.34358837e-04
1.81818104e+01, 4.32943169e-04
1.84848404e+01, 4.35950264e-04
1.87878704e+01, 4.35222086e-04
1.90909004e+01, 4.34942922e-04
1.93939304e+01, 4.34520887e-04
1.96969604e+01, 4.34365822e-04
1.99999905e+01, 4.34006914e-04
2.03030205e+01, 4.33986424e-04
2.06060505e+01, 4.33297479e-04
2.09090805e+01, 4.34792513e-04
2.12121105e+01, 4.34745103e-04
2.15151405e+01, 4.34370246e-04
2.18181705e+01, 4.34269139e-04
2.21212006e+01, 4.34374932e-04
2.24242306e+01, 4.35732974e-04
2.27272606e+01, 4.34102898e-04
2.30302906e+01, 4.34906833e-04
2.33333206e+01, 4.35074529e-04
2.36363506e+01, 4.34432412e-04
2.39393806e+01, 4.32876986e-04
2.42424107e+01, 4.35296446e-04
2.45454407e+01, 4.33529320e-04
2.48484707e+01, 4.36651724e-04
2.51515007e+01, 4.36879054e-04
2.54545307e+01, 4.34514834e-04
2.57575607e+01, 4.33908310e-04
2.60605907e+01, 4.35621216e-04
2.63636208e+01, 4.36574774e-04
2.66666508e+01, 4.35589231e-04
2.69696808e+01, 4.36777831e-04
2.72727108e+01, 4.37218318e-04
2.75757408e+01, 4.35314781e-04
2.78787708e+01, 4.35288704e-04
2.81818008e+01, 4.36353090e-04
2.84848309e+01, 4.34050278e-04
2.87878609e+01, 4.36350907e-04
2.90908909e+01, 4.32514789e-04
2.93939209e+01, 4.34797170e-04
2.96969509e+01, 4.36724134e-04
2.99999809e+01, 4.31568158e-04


