[Name]
Re400 at /LINE:Line 1

[Data]
Z [ m ],Velocity w [ m s^-1 ]
0.00000000e+00, 4.01923462e-04
3.03030312e-01, 4.25264239e-04
6.06060624e-01, 4.58662049e-04
9.09090936e-01, 4.84311138e-04
1.21212125e+00, 5.04936499e-04
1.51515150e+00, 5.22471149e-04
1.81818175e+00, 5.38083084e-04
2.12121201e+00, 5.51863341e-04
2.42424226e+00, 5.65188937e-04
2.72727251e+00, 5.77302359e-04
3.03030276e+00, 5.88540162e-04
3.33333302e+00, 5.98950603e-04
3.63636327e+00, 6.09011739e-04
3.93939352e+00, 6.18062622e-04
4.24242401e+00, 6.26669615e-04
4.54545450e+00, 6.34577358e-04
4.84848499e+00, 6.42651925e-04
5.15151548e+00, 6.49415422e-04
5.45454597e+00, 6.55334792e-04
5.75757647e+00, 6.60896185e-04
6.06060696e+00, 6.67563290e-04
6.36363745e+00, 6.73404080e-04
6.66666794e+00, 6.78557553e-04
6.96969843e+00, 6.82720100e-04
7.27272892e+00, 6.87155582e-04
7.57575941e+00, 6.90217246e-04
7.87878990e+00, 6.95249182e-04
8.18181992e+00, 6.98262593e-04
8.48484993e+00, 7.02905818e-04
8.78787994e+00, 7.06607010e-04
9.09090996e+00, 7.08194333e-04
9.39393997e+00, 7.12387904e-04
9.69696999e+00, 7.14667782e-04
1.00000000e+01, 7.14423717e-04
1.03030300e+01, 7.16901093e-04
1.06060600e+01, 7.17427058e-04
1.09090900e+01, 7.21229822e-04
1.12121201e+01, 7.24997662e-04
1.15151501e+01, 7.27315433e-04
1.18181801e+01, 7.26267986e-04
1.21212101e+01, 7.27779348e-04
1.24242401e+01, 7.30275351e-04
1.27272701e+01, 7.30474829e-04
1.30303001e+01, 7.29294668e-04
1.33333302e+01, 7.34664616e-04
1.36363602e+01, 7.37354101e-04
1.39393902e+01, 7.34976493e-04
1.42424202e+01, 7.36117596e-04
1.45454502e+01, 7.39569310e-04
1.48484802e+01, 7.41181429e-04
1.51515102e+01, 7.39568961e-04
1.54545403e+01, 7.38375587e-04
1.57575703e+01, 7.41180149e-04
1.60606003e+01, 7.42292672e-04
1.63636303e+01, 7.43222830e-04
1.66666603e+01, 7.44678429e-04
1.69696903e+01, 7.41881609e-04
1.72727203e+01, 7.45976984e-04
1.75757504e+01, 7.45153055e-04
1.78787804e+01, 7.43812299e-04
1.81818104e+01, 7.42050237e-04
1.84848404e+01, 7.46589678e-04
1.87878704e+01, 7.45875295e-04
1.90909004e+01, 7.45668425e-04
1.93939304e+01, 7.45351426e-04
1.96969604e+01, 7.45335070e-04
1.99999905e+01, 7.45075522e-04
2.03030205e+01, 7.45285070e-04
2.06060505e+01, 7.44387857e-04
2.09090805e+01, 7.46569189e-04
2.12121105e+01, 7.46713253e-04
2.15151405e+01, 7.46279664e-04
2.18181705e+01, 7.46296661e-04
2.21212006e+01, 7.46714592e-04
2.24242306e+01, 7.49033527e-04
2.27272606e+01, 7.46804988e-04
2.30302906e+01, 7.48257560e-04
2.33333206e+01, 7.48745166e-04
2.36363506e+01, 7.47596729e-04
2.39393806e+01, 7.45499274e-04
2.42424107e+01, 7.49164610e-04
2.45454407e+01, 7.46656850e-04
2.48484707e+01, 7.51389947e-04
2.51515007e+01, 7.51943677e-04
2.54545307e+01, 7.48461578e-04
2.57575607e+01, 7.47648533e-04
2.60605907e+01, 7.50313106e-04
2.63636208e+01, 7.51939020e-04
2.66666508e+01, 7.50543666e-04
2.69696808e+01, 7.52421620e-04
2.72727108e+01, 7.53310276e-04
2.75757408e+01, 7.50518520e-04
2.78787708e+01, 7.50540174e-04
2.81818008e+01, 7.52115448e-04
2.84848309e+01, 7.48488237e-04
2.87878609e+01, 7.52145192e-04
2.90908909e+01, 7.46292993e-04
2.93939209e+01, 7.49830448e-04
2.96969509e+01, 7.52735825e-04
2.99999809e+01, 7.44842808e-04


