[Name]
Series 1 at /LINE:Line 1

[Data]
Z [ m ],Velocity w [ m s^-1 ]
0.00000000e+00, 5.72740973e-05
3.03030312e-01, 6.80283556e-05
6.06060624e-01, 8.33790400e-05
9.09090936e-01, 9.30319875e-05
1.21212125e+00, 9.89000400e-05
1.51515150e+00, 1.02925318e-04
1.81818175e+00, 1.05131556e-04
2.12121201e+00, 1.07270782e-04
2.42424226e+00, 1.07886313e-04
2.72727251e+00, 1.08862529e-04
3.03030276e+00, 1.09610090e-04
3.33333302e+00, 1.09750210e-04
3.63636327e+00, 1.10356377e-04
3.93939352e+00, 1.10644149e-04
4.24242401e+00, 1.10177469e-04
4.54545450e+00, 1.10213674e-04
4.84848499e+00, 1.10797948e-04
5.15151548e+00, 1.10713794e-04
5.45454597e+00, 1.10288667e-04
5.75757647e+00, 1.10211433e-04
6.06060696e+00, 1.10837958e-04
6.36363745e+00, 1.11048095e-04
6.66666794e+00, 1.10975401e-04
6.96969843e+00, 1.10781992e-04
7.27272892e+00, 1.10946414e-04
7.57575941e+00, 1.10536363e-04
7.87878990e+00, 1.10976609e-04
8.18181992e+00, 1.10763685e-04
8.48484993e+00, 1.11190311e-04
8.78787994e+00, 1.11343412e-04
9.09090996e+00, 1.10857902e-04
9.39393997e+00, 1.11279849e-04
9.69696999e+00, 1.11285954e-04
1.00000000e+01, 1.10557259e-04
1.03030300e+01, 1.10599431e-04
1.06060600e+01, 1.10229528e-04
1.09090900e+01, 1.10623514e-04
1.12121201e+01, 1.11083369e-04
1.15151501e+01, 1.11264635e-04
1.18181801e+01, 1.10676890e-04
1.21212101e+01, 1.10697831e-04
1.24242401e+01, 1.10916604e-04
1.27272701e+01, 1.10639012e-04
1.30303001e+01, 1.10045228e-04
1.33333302e+01, 1.10956054e-04
1.36363602e+01, 1.11232446e-04
1.39393902e+01, 1.10639317e-04
1.42424202e+01, 1.10754234e-04
1.45454502e+01, 1.11201531e-04
1.48484802e+01, 1.11463109e-04
1.51515102e+01, 1.10842171e-04
1.54545403e+01, 1.10470617e-04
1.57575703e+01, 1.10908120e-04
1.60606003e+01, 1.11025518e-04
1.63636303e+01, 1.11033623e-04
1.66666603e+01, 1.11236914e-04
1.69696903e+01, 1.10579851e-04
1.72727203e+01, 1.11336412e-04
1.75757504e+01, 1.10978392e-04
1.78787804e+01, 1.10609843e-04
1.81818104e+01, 1.10212277e-04
1.84848404e+01, 1.11238638e-04
1.87878704e+01, 1.10990833e-04
1.90909004e+01, 1.10933448e-04
1.93939304e+01, 1.10780747e-04
1.96969604e+01, 1.10722467e-04
1.99999905e+01, 1.10662659e-04
2.03030205e+01, 1.10636247e-04
2.06060505e+01, 1.10480374e-04
2.09090805e+01, 1.10985129e-04
2.12121105e+01, 1.10933513e-04
2.15151405e+01, 1.10826717e-04
2.18181705e+01, 1.10768109e-04
2.21212006e+01, 1.10734720e-04
2.24242306e+01, 1.11076763e-04
2.27272606e+01, 1.10549518e-04
2.30302906e+01, 1.10774221e-04
2.33333206e+01, 1.10823123e-04
2.36363506e+01, 1.10729234e-04
2.39393806e+01, 1.10225075e-04
2.42424107e+01, 1.10976231e-04
2.45454407e+01, 1.10441229e-04
2.48484707e+01, 1.11361631e-04
2.51515007e+01, 1.11398564e-04
2.54545307e+01, 1.10703775e-04
2.57575607e+01, 1.10497873e-04
2.60605907e+01, 1.11066773e-04
2.63636208e+01, 1.11289140e-04
2.66666508e+01, 1.10983536e-04
2.69696808e+01, 1.11332920e-04
2.72727108e+01, 1.11348461e-04
2.75757408e+01, 1.10835696e-04
2.78787708e+01, 1.10816283e-04
2.81818008e+01, 1.11171030e-04
2.84848309e+01, 1.10523688e-04
2.87878609e+01, 1.11144051e-04
2.90908909e+01, 1.10071647e-04
2.93939209e+01, 1.10771602e-04
2.96969509e+01, 1.11377580e-04
2.99999809e+01, 1.09824978e-04


